,Property_Name,Price_in_INR,No_of_Bedroom,Property_type
1071,"Dixons Hill Road, Welham Green, North Mymms",27986640,2,1 bedroom flat for sale
1072,"Newtown House, Town Centre, Hatfield, Hertfordshire",68906500,2,3 bedroom semi-detached house for sale
1073,"Selwyn Crescent, Hatfield",56185300,3,3 bedroom semi-detached house for sale
1074,"Cranborne Crescent, Potters Bar, EN6",68906500,2,3 bedroom end of terrace house for sale
1075,"Bell View, St Albans",34453250,2,2 bedroom ground floor flat for sale
1076,"Avian Avenue, Curo Park, St. Albans, Hertfordshire",68906500,5,4 bedroom detached house for sale
1077,"Tithe Close, Codicote",26502500,4,1 bedroom apartment for sale
1078,"Sefton Court, Welwyn Garden City, Hertfordshire, AL8",37103500,7,2 bedroom apartment for sale
1079,"Coopers Green Lane, Hatfield, Hertfordshire",36043400,3,2 bedroom flat for sale
1080,"Great North Road, Hatfield, Hertfordshire",58305500,1,3 bedroom semi-detached house for sale
1081,"Trent Close, Shenley, WD7",37103500,3,2 bedroom flat for sale
1082,"Davy House, St Albans, AL1",33393150,4,2 bedroom flat for sale
1083,"Abbots Park, St Albans, AL1",106010000,3,5 bedroom detached house for sale
1084,"The Quadrangle, Welwyn Garden City, Hertfordshire",65726200,,4 bedroom end of terrace house for sale
1085,"Oakdale, Welwyn Garden City, Hertfordshire",153714500,2,7 bedroom detached house for sale
1086,"Mountway, Potters Bar, EN6",79507500,1,3 bedroom terraced house for sale
1087,"Digswell House, Monks Rise, Welwyn Garden City, Hertfordshire",25442400,3,1 bedroom flat for sale
1088,"Potters Bar, Hertsmere, EN6",41343900,2,3 bedroom semi-detached house for sale
1089,"66 Old Rectory Drive, Hatfield, Hertfordshire, AL10 8AE",95409000,2,4 bedroom semi-detached house for sale
1090,"Oakroyd Close, Potters Bar, Hertfordshire",53005000,2,3 bedroom end of terrace house for sale
1091,"Campion Road, Hatfield",18551750,3,Ground floor flat for sale
1092,"London Road, St. Albans, Hertfordshire",38693650,3,2 bedroom flat for sale
1093,"Copper Beeches, Milton Road, Harpenden, Hertfordshire",28622700,3,1 bedroom cluster house for sale
1094,"Tomsfield, Hatfield, Hatfield, AL10",84277950,5,3 bedroom end of terrace house for sale
1095,"Prae Close, St. Albans, Hertfordshire, AL3",34983300,4,2 bedroom maisonette for sale
1096,"South Mimms, Potters Bar EN6",45054250,3,2 bedroom maisonette for sale
1097,"St. Albans Road, Barnet EN5",47704500,3,2 bedroom apartment for sale
1098,"Hazelwood Drive, St. Albans, Hertfordshire, AL4",58305500,2,3 bedroom house for sale
1099,"Peartree Lane, Welwyn Garden City",55548709,4,3 bedroom semi-detached house for sale
1100,"Colesdale, Cuffley",29677499,,3 bedroom duplex for sale
1101,"High Street, London Colney, St. Albans",132512500,1,5 bedroom detached house for sale
1102,"Codicote Road, Welwyn, Hertfordshire, AL6",135162750,3,4 bedroom detached house for sale
1103,"Piggottshill Lane, Harpenden",87458250,5,3 bedroom semi-detached house for sale
1104,"The Ridgeway, St. Albans, Hertfordshire, AL4",40813850,5,3 bedroom terraced house for sale
1105,"Ingles, Welwyn Garden City, Herts, AL8",20136599,2,2 bedroom apartment for sale
1106,"Flat 29 Hertford Mews, Billy Lows Lane, Potters Bar, EN6",68906500,,4 bedroom semi-detached house for sale
1107,"Frederick Place, Frogmore, St. Albans, Hertfordshire",39753750,3,Property for sale
1108,"68-70 Park Street, Hertfordshire, AL2 2PW",36043400,4,1 bedroom flat for sale
1109,"Avenue Road, St. Albans, Hertfordshire",79507500,5,3 bedroom semi-detached house for sale
1110,"Attimore Road, Welwyn Garden City, Hertfordshire",137813000,3,5 bedroom duplex for sale
1111,"Goldens Way, Goldings, Hertford, Hertfordshire, SG14",137813000,3,5 bedroom detached house for sale
1112,"Digswell Place, Welwyn Garden City, Hertfordshire",45054250,2,2 bedroom semi-detached house for sale
1113,"Vine Close, Welwyn Garden City, AL8",18551750,3,Studio for sale
1114,"Redhall Close, Hatfield",74207000,4,3 bedroom semi-detached house for sale
1115,"Torrington Drive, Potters Bar",159015000,3,4 bedroom detached house for sale
1116,"Lancaster Road, St. Albans, AL1 4ET",174916500,1,5 bedroom detached house for sale
1117,"Sandridgebury Lane, St. Albans, Hertfordshire",50354750,3,3 bedroom end of terrace house for sale
1118,"Redhall Drive, Hatfield, Al10",45054250,3,3 bedroom end of terrace house for sale
1119,"Kelbys, Welwyn Garden City, AL7",21202000,1,2 bedroom flat for sale
1120,"Tempsford, WELWYN GARDEN CITY, AL7",52474950,4,3 bedroom semi-detached house for sale
1121,"Mill Green, Hatfield, Hertfordshire",100709500,3,4 bedroom detached house for sale
1122,"The Doves, Watford Road, St Albans, Hertfordshire",82157750,3,3 bedroom detached house for sale
1123,"Hill End Lane, St. Albans, Hertfordshire, AL4",33393150,3,1 bedroom apartment for sale
1124,"Sopwell Lane, St. Albans, Hertfordshire, AL1",47704500,4,3 bedroom terraced house for sale
1125,"Somers Road, Welham Green, North Mymms, Hatfield, AL9",49824700,5,3 bedroom terraced house for sale
1126,"Floral Drive, London Colney",21202000,4,1 bedroom flat for sale
1127,"Alderman Close, Welham Green, AL9",106010000,1,4 bedroom detached house for sale
1128,"Thrush Lane, Cuffley, Hertfordshire, EN6",72611549,5,3 bedroom detached bungalow for sale
1129,"South Drive, Cuffley",74201699,2,3 bedroom detached bungalow for sale
1130,"Hawkshead Road, Little Heath",76857250,3,3 bedroom terraced house for sale
1131,"Weybourne Close, Harpenden",79507500,3,4 bedroom semi-detached house for sale
1132,"Coleswood Road, Harpenden",265025000,5,5 bedroom detached house for sale
1133,"Oakhurst Avenue, Harpenden",84802699,4,4 bedroom semi-detached house for sale
1134,"Wroxham Gardens, Potters Bar, EN6",16961600,6,1 bedroom flat for sale
1135,"Walsingham Close, Hatfield",132512500,2,5 bedroom detached house for sale
1136,"Sleapshyde, Smallford, St. Albans, AL4 0SE",56185300,2,2 bedroom bungalow for sale
1137,"Spooners Drive, Park Street, St. Albans, Hertfordshire, AL2",68906500,1,3 bedroom house for sale
1138,"Smug Oak Lane, Colney Street, St. Albans, Hertfordshire",66256250,3,3 bedroom semi-detached house for sale
1139,"Hatherleigh Gardens, Potters Bar, EN6 5HZ",132512500,4,5 bedroom semi-detached house for sale
1140,"Epping Green, Hertford, Hertfordshire, SG13",121911500,2,4 bedroom detached house for sale
1141,"Heath Drive, Potters Bar, Hertfordshire, EN6",253893950,2,6 bedroom detached house for sale
1142,"Links Drive, Radlett, Hertfordshire, WD7",47704500,5,2 bedroom bungalow for sale
1143,"Perrywood, Walden Road, Welwyn Garden City, Hertfordshire",41873950,4,2 bedroom terraced house for sale
1144,"New Town, Codicote, SG4",27557299,3,1 bedroom flat for sale
1145,"Park View, Potters Bar, EN6",50354750,3,3 bedroom terraced house for sale
1146,"Wren Wood, Welwyn Garden City, Hertfordshire",127212000,2,4 bedroom detached house for sale
1147,"Nightingale Lane, St Albans, Hertfordshire",47704500,3,2 bedroom apartment for sale
1148,"Queens Court, Codicote, Hitchin, Hertfordshire",25972450,3,2 bedroom flat for sale
1149,"Albeny Gate, St Albans, AL1",137813000,4,5 bedroom duplex for sale
1150,"Goldens Way, Goldings, Hertford, Hertfordshire, SG14",71556750,,4 bedroom semi-detached house for sale
1151,"Glebe Road, Welwyn, Hertfordshire",58305500,5,3 bedroom semi-detached house for sale
1152,"Oliver Close, Park Street, St. Albans, Hertfordshire, AL2",82157750,3,3 bedroom semi-detached house for sale
1153,"Waveney Road, Harpenden",38693650,3,2 bedroom terraced house for sale
1154,"Duncan Close, Welwyn Garden City",75797150,2,3 bedroom semi-detached house for sale
1155,"Knightsfield, Welwyn Garden City, Hertfordshire",40813850,5,3 bedroom semi-detached house for sale
1156,"Copperfields, Welwyn Garden City, Hertfordshire",137813000,2,4 bedroom chalet for sale
1157,"Orchard Drive, Park Street, St. Albans, Hertfordshire, AL2",318030000,2,Detached house for sale
1158,"Newlands Avenue, Radlett",318030000,3,5 bedroom house for sale
1159,"Newlands Avenue, Radlett",55655250,1,3 bedroom house for sale
1160,"Rose Mead, Potters Bar",53005000,3,3 bedroom semi-detached house for sale
1161,"Carnegie Road, St. Albans, AL3 6HL",26502500,6,2 bedroom flat for sale
1162,"Nurseries Road, Wheathampstead, St. Albans, AL4 8TP",190287950,3,5 bedroom detached house for sale
1163,"Cunningham Avenue, St. Albans",39753750,3,2 bedroom penthouse for sale
1164,"William Close, Welwyn Garden City",56185300,4,2 bedroom bungalow for sale
1165,"Spooners Drive, Park Street, St. Albans, Hertfordshire",53004469,3,3 bedroom semi-detached house for sale
1166,"Heathcote Avenue, Hatfield, Herts, AL10",14841400,3,1 bedroom apartment for sale
1167,"at The Prestige, David Lewis Street SG4",42404000,2,3 bedroom semi-detached house for sale
1168,"Manor Road, Hatfield",132512500,2,6 bedroom detached house for sale
1169,"King James Avenue, Cuffley",92758750,3,3 bedroom apartment for sale
1170,"Leyton Road, Harpenden, Hertfordshire",58305500,6,3 bedroom semi-detached house for sale
1171,"Oliver Close, St. Albans",105479950,2,4 bedroom detached house for sale
1172,"Ribston Close, Shenley, WD7",60955750,3,3 bedroom semi-detached house for sale
1173,"Boundary Lane, Welwyn Garden City, Hertfordshire",68906500,4,3 bedroom semi-detached house for sale
1174,"Hadleigh Close, Shenley",37103500,5,2 bedroom flat for sale
1175,"Dorchester Court, Dexter Close, St. Albans",74207000,3,2 bedroom apartment for sale
1176,"Leyton Road, Harpenden, Hertfordshire",43464100,4,3 bedroom terraced house for sale
1177,"Holly Drive, Potters Bar, EN6 2QL",190287950,,6 bedroom detached house for sale
1178,"Kimpton Road, Welwyn, Hertfordshire, AL6",47704500,2,2 bedroom terraced house for sale
1179,"Chiswell Green Lane, St. Albans, Hertfordshire",59365600,3,3 bedroom detached house for sale
1180,"Kingsley Court, Welwyn Garden City, Hertfordshire",93500820,3,4 bedroom detached house for sale
1181,"Sandpit Lane, St. Albans, Hertfordshire",143113500,3,5 bedroom detached house for sale
1182,"Attimore Road, Welwyn Garden City, Hertfordshire, AL8",45584300,3,3 bedroom terraced house for sale
1183,"Carvers Croft, Woolmer Green, Hertfordshire, SG3",55125200,3,4 bedroom house for sale
1184,"Mount Pleasant, Hatfield",3710350,2,Land for sale
1185,"Land Adjacent to 25 Lindum Place, St. Albans, Hertfordshire, AL3 4JJ",68906500,1,2 bedroom end of terrace house for sale
1186,"Folly Lane, St. Albans, Hertfordshire",31803000,4,3 bedroom flat for sale
1187,"Tudor Road, St. Albans, Hertfordshire",45054250,3,3 bedroom end of terrace house for sale
1188,"Ingles, Welwyn Garden City, AL8",46114350,1,3 bedroom semi-detached house for sale
1189,"Campions Close, Borehamwood WD6",69436550,1,3 bedroom semi-detached house for sale
1190,"Marquis Lane, Harpenden",69330540,4,3 bedroom detached house for sale
1191,Keyfield Terrace in Central St Albans,47704500,4,2 bedroom semi-detached house for sale
1192,"Southgate Road, Potters Bar",16961600,3,1 bedroom apartment for sale
1193,"at The Prestige, David Lewis Street SG4",56185300,5,4 bedroom semi-detached house for sale
1194,"Crawford Road, Hatfield",58305500,2,3 bedroom terraced house for sale
1195,"Burnside, St. Albans, Hertfordshire",18551750,3,1 bedroom flat for sale
1196,"Wordsworth Court Middlefield, Hatfield",24912350,6,1 bedroom flat for sale
1197,"Sutton Road, St. Albans, Hertfordshire",116611000,2,4 bedroom semi-detached house for sale
1198,"Mortimer Crescent, Kings Park, St. Albans, Hertfordshire",60955750,2,4 bedroom end of terrace house for sale
1199,"St Vincents Way, Potters Bar, Hertfordshire, EN6",68906500,3,3 bedroom terraced house for sale
1200,"Kipling Way, Harpenden, Hertfordshire",74207000,3,5 bedroom detached house for sale
1201,"Horsa Gardens, Hatfield",19293820,5,2 bedroom flat for sale
1202,"Liberty House, Welwyn Garden City, Hertfordshire",46114350,4,3 bedroom end of terrace house for sale
1203,"Chelmsford Road, Hertford, SG14",212020000,1,6 bedroom detached house for sale
1204,"Hill Rise, Cuffley, Hertfordshire, EN6",34983300,2,2 bedroom maisonette for sale
1205,"High Street, London Colney, St. Albans",31272950,,2 bedroom maisonette for sale
1206,"High Street, London Colney, St. Albans",76857250,3,3 bedroom semi-detached bungalow for sale
1207,"Field Close, Harpenden",116080950,2,3 bedroom detached bungalow for sale
1208,"Ashcroft Close, Harpenden",78447400,3,5 bedroom semi-detached house for sale
1209,"Cotton Road, Potters Bar",127212000,3,4 bedroom detached house for sale
1210,"Elmwood, Welwyn Garden City, Hertfordshire, AL8",22792150,5,1 bedroom flat for sale
1211,"Tempsford, Welwyn Garden City, Hertfordshire",34983300,6,2 bedroom apartment for sale
1212,"St. Johns Close, Potters Bar, Hertfordshire, EN6",196118500,,Property for sale
1213,"Cuffley, Cuffley EN6",45054250,3,3 bedroom terraced house for sale
1214,"Four Acres, Welwyn Garden City",46114350,2,2 bedroom terraced house for sale
1215,"Rooks Close, Welwyn Garden City, Hertfordshire",71556750,3,3 bedroom detached house for sale
1216,"Beehive Lane, Welwyn Garden City, AL7",51414850,2,3 bedroom end of terrace house for sale
1217,"Lords Wood, Welwyn Garden City, Hertfordshire",196118500,3,5 bedroom property with land for sale
1218,"The Ridgeway, Cuffley, Hertfordshire, EN6",155834700,5,6 bedroom detached house for sale
1219,"Everlasting Lane, St. Albans, Hertfordshire",4240400,2,Land for sale
1220,"Park Street, St Albans AL2",100709500,3,3 bedroom end of terrace house for sale
1221,"Vickers Mews, St. Albans, Hertfordshire",37103500,4,2 bedroom maisonette for sale
1222,"Vernon Close, St. Albans, Hertfordshire",49294650,3,3 bedroom terraced house for sale
1223,"Knightsfield, Welwyn Garden City, Hertfordshire",33393150,,2 bedroom maisonette for sale
1224,"Haldens, Welwyn Garden City, Hertfordshire",68906500,3,3 bedroom terraced house for sale
1225,"Knowle Drive, Harpenden, Hertfordshire, AL5",52474950,3,5 bedroom semi-detached house for sale
1226,"Branch Close, Hatfield",58305500,3,2 bedroom apartment for sale
1227,"Marshalls Court, Woodstock Road North, St Albans, Hertfordshire, AL1",63075950,3,3 bedroom semi-detached house for sale
1228,"Ringway Road, Park Street, St. Albans, Hertfordshire, AL2",159015000,2,4 bedroom detached house for sale
1229,"Vanda Crescent, St Albans, Hertfordshire, AL1",100709500,3,3 bedroom semi-detached house for sale
1230,Harpenden AL5,127212000,3,Land for sale
1231,"Dellcroft Way, Harpenden",82581790,3,3 bedroom end of terrace house for sale
1232,"Azalea Close, Napsbury Park,",55125200,5,3 bedroom end of terrace house for sale
1233,"Peters Avenue, London Colney, St. Albans",92228700,4,3 bedroom detached bungalow for sale
1234,"Mayflower Road, Park Street, St. Albans",84701990,5,3 bedroom penthouse for sale
1235,"Blenheim Mews, Shenley, Radlett, Hertfordshire",28092650,1,2 bedroom flat for sale
1236,"Mosquito Way, Hatfield, AL10",47704500,1,3 bedroom semi-detached house for sale
1237,"Knella Green, Welwyn Garden City AL7",80567600,3,3 bedroom semi-detached house for sale
1238,"Harpenden Road, St. Albans, Hertfordshire",68906500,4,3 bedroom semi-detached house for sale
1239,"Northlands, Potters Bar, EN6",159015000,4,5 bedroom detached house for sale
1240,"King Harry Lane, St. Albans AL3",84808000,2,4 bedroom detached house for sale
1241,"Park Lane, Colney Heath, St. Albans, Hertfordshire",212020000,2,5 bedroom detached house for sale
1242,"Goodyers Avenue, Radlett, Hertfordshire, WD7",21201469,2,1 bedroom apartment for sale
1243,"at The Prestige, David Lewis Street SG4",8480800,5,1 bedroom flat for sale
1244,"14 Lakeside Place, London Colney, St. Albans, Hertfordshire, AL2 1PZ",68906500,4,3 bedroom detached house for sale
1245,"Wheat Close, Sandridge, St. Albans, AL4 9NN",98059250,4,4 bedroom semi-detached house for sale
1246,"Dugdale Hill Lane, Potters Bar, EN6",92758750,1,4 bedroom detached house for sale
1247,"Russet Drive, St. Albans, Hertfordshire",52999699,2,2 bedroom apartment for sale
1248,"Goldring Way, London Colney, St. Albans, Hertfordshire, AL2",47699199,5,2 bedroom apartment for sale
1249,"Goldring Way, London Colney, St. Albans, Hertfordshire, AL2",58305500,1,2 bedroom terraced house for sale
1250,"Betjeman Close, Harpenden, Hertfordshire",164315500,3,5 bedroom detached house for sale
1251,"Robin Way, Cuffley, Hertfordshire, EN6",135162750,1,4 bedroom detached house for sale
1252,St Albans AL3,111310500,1,4 bedroom semi-detached house for sale
1253,"Redbourn Road, St. Albans",35513350,3,1 bedroom flat for sale
1254,"Station Approach, Harpenden",66256250,5,2 bedroom semi-detached house for sale
1255,"Ashwood Mews, St. Albans, AL1",190818000,3,5 bedroom detached house for sale
1256,"Orchard Close, Cuffley, Potters Bar",22262100,4,1 bedroom maisonette for sale
1257,"How Wood, Park Street, St. Albans, Hertfordshire",36573450,3,3 bedroom terraced house for sale
1258,"25 How Wood, Park Street, St Albans",27562600,2,1 bedroom house for sale
1259,"The Paddocks, Codicote, Hitchin",28622700,1,1 bedroom apartment for sale
1260,"Sandridge Road, St. Albans, Hertfordshire, AL1",82682499,4,3 bedroom semi-detached house for sale
1261,"Dugdale Hill Lane, Potters Bar, EN6",100709500,2,5 bedroom end of terrace house for sale
1262,"Goldsmith Way, St. Albans, Hertfordshire",45054250,5,3 bedroom terraced house for sale
1263,"Old Hertford Road, Hatfield",87988300,4,4 bedroom detached house for sale
1264,"Edgbaston Drive, Shenley, Radlett, Hertfordshire, WD7",132512500,2,3 bedroom detached house for sale
1265,"Pottersheath Road, Welwyn, Hertfordshire",31802893,,2 bedroom retirement property for sale
1266,"Great North Road, Hatfield, Hertfordshire, AL9",14840869,1,1 bedroom apartment for sale
1267,"at The Prestige, David Lewis Street SG4",58305500,3,4 bedroom terraced house for sale
1268,"Elsons Mews, Welwyn Garden City, Hertfordshire",31803000,,2 bedroom maisonette for sale
1269,"Knightsfield, Welwyn Garden City, Hertfordshire",132512500,2,5 bedroom semi-detached house for sale
1270,"Charmouth Road, St. Albans, Hertfordshire",92758750,3,4 bedroom semi-detached house for sale
1271,"Danesbury Cottages, Danesbury Park Road, Welwyn, Hertfordshire",43994150,2,2 bedroom apartment for sale
1272,"Sanders Place, Camp Road, St Albans, Hertfordshire, AL1",530050,1,Land for sale
1273,"Land at Napsbury Lane, St Albans, Hertfordshire, AL1 1DS",25442400,5,1 bedroom apartment for sale
1274,"Marshe Close, London",66256250,2,3 bedroom semi-detached house for sale
1275,"Beehive Lane, Welwyn Garden City, Hertfordshire",73676950,1,Land for sale
1276,"Danesbury Park Road, Welwyn, Hertfordshire, AL6",53005000,1,2 bedroom semi-detached house for sale
1277,"Albert Street, St. Albans, AL1 1RT",60955750,1,3 bedroom semi-detached house for sale
1278,"Batchwood Drive, St. Albans, AL3 5UF",39753750,1,2 bedroom maisonette for sale
1279,"Dorcas Court, Old London Road, St. Albans, AL1 1PW",23322200,2,1 bedroom flat for sale
1280,"Dorcas Court, Old London Road, St. Albans, AL1 1PW",37103500,4,5 bedroom semi-detached house for sale
1281,"Briars Close, Hatfield",26502500,3,2 bedroom apartment for sale
1282,"at The Prestige, David Lewis Street SG4",25441869,2,1 bedroom apartment for sale
1283,"at The Prestige, David Lewis Street SG4",24382300,2,1 bedroom apartment for sale
1284,"at The Prestige, David Lewis Street SG4",24381769,2,1 bedroom apartment for sale
1285,"at The Prestige, David Lewis Street SG4",23322200,3,1 bedroom apartment for sale
1286,"at The Prestige, David Lewis Street SG4",58305500,4,2 bedroom cottage for sale
1287,"High Road, Essendon, AL9 6HW",72086800,2,4 bedroom detached house for sale
1288,"Bloomfield Road, Cheshunt",72616319,2,3 bedroom detached bungalow for sale
1289,"Brookside Crescent, Cuffley",34453250,5,2 bedroom flat for sale
1290,"Stonehills, Welwyn Garden City, Hertfordshire",29152750,5,2 bedroom apartment for sale
1291,"Bridge Court, Bridge Road East",53004893,5,2 bedroom apartment for sale
1292,"Blenheim Mews, Shenley, WD7",40283800,2,3 bedroom terraced house for sale
1293,"Mardleybury Road, Woolmer Green, Knebworth, Hertfordshire",137813000,,4 bedroom detached house for sale
1294,"High Oaks Road, Welwyn Garden City, Hertfordshire",34453250,3,2 bedroom flat for sale
1295,"St. Pauls Place, Hatfield Road, St. Albans, Hertfordshire",53005000,2,2 bedroom bungalow for sale
1296,"Mardley Avenue, Welwyn, Hertfordshire",365734500,3,5 bedroom detached house for sale
1297,"Kentish Lane, Brookmans Park, Herts, AL9",79454495,3,5 bedroom detached house for sale
1298,"Robbery Bottom Lane, Welwyn, AL6",381636000,3,5 bedroom detached house for sale
1299,"Kentish Lane, Brookmans Park, Hertfordshire, AL9",40813850,4,2 bedroom semi-detached house for sale
1300,"Kenyon Place, Welwyn Garden City, Hertfordshire",4770450,4,Land for sale
1301,Tewin AL6,34453250,2,3 bedroom semi-detached house for sale
1302,"1 Tallents Crescent, Harpenden, Hertfordshire, AL5 5BP",47704500,5,2 bedroom terraced house for sale
1303,"Rydal Mount, Santers Lane, Potters Bar, Hertfordshire",50354750,1,3 bedroom semi-detached house for sale
1304,"Bullens Green Lane, Colney Heath",48764600,1,3 bedroom end of terrace house for sale
1305,"Gorseway, Hatfield, AL10",51944900,3,3 bedroom end of terrace house for sale
1306,"Salisbury Road, Welwyn Garden City",76857250,5,4 bedroom semi-detached house for sale
1307,"St. Helier Road, Sandridge, St. Albans, Hertfordshire",106010000,4,4 bedroom detached house for sale
1308,"Maplefield, Park Street, St. Albans, Hertfordshire",39753750,2,2 bedroom apartment for sale
1309,"Hughenden Road, St. Albans, Hertfordshire",196118500,2,5 bedroom semi-detached house for sale
1310,Harpenden AL5,18016399,2,1 bedroom flat for sale
1311,"Hillfield, Hatfield",23852250,3,1 bedroom apartment for sale
1312,"Mandeville Court, Darkes Lane, Potters Bar",55119899,3,3 bedroom terraced house for sale
1313,"Whitecroft, St Albans",80567600,3,5 bedroom semi-detached house for sale
1314,"Stanborough Mews, Stanborough Road, Welwyn Garden City, Hertfordshire",77917350,4,4 bedroom flat for sale
1315,"King Harry Lane, St. Albans, Hertfordshire",67316350,4,2 bedroom terraced house for sale
1316,"Cravells Road, Harpenden, Hertfordshire",63075950,3,2 bedroom end of terrace house for sale
1317,"Grove Road, Harpenden",45054250,2,2 bedroom end of terrace house for sale
1318,"Knolles Crescent, Welham Green, AL9",55655250,3,3 bedroom terraced house for sale
1319,"Rose Mead, Potters Bar",63606000,5,3 bedroom bungalow for sale
1320,"Briars Lane, Hatfield",74207000,4,3 bedroom bungalow for sale
1321,"Tippendell Lane, St Albans, AL2",84808000,2,4 bedroom detached house for sale
1322,"Pirton Close, St. Albans, AL4 9YJ",84808000,3,4 bedroom detached house for sale
1323,"Tollgate Road, Colney Heath, St Albans",55125200,4,3 bedroom end of terrace house for sale
1324,"Napsbury Avenue, London Colney, St. Albans",48764600,3,2 bedroom terraced house for sale
1325,"Riverside Court, Riverside Road, St. Albans",50354750,2,3 bedroom semi-detached house for sale
1326,"High Street, Codicote, Hitchin, Hertfordshire",121911500,3,5 bedroom detached house for sale
1327,"Scotts View, Welwyn Garden City, Hertfordshire",87458250,3,4 bedroom semi-detached house for sale
1328,"Watford Road, St. Albans, Hertfordshire",73146900,2,2 bedroom apartment for sale
1329,"Mulberry Manor, New Road, Welwyn, Hertfordshire",73676950,3,3 bedroom character property for sale
1330,"Endymion Road, Hatfield",70496650,3,4 bedroom semi-detached house for sale
1331,"Strafford Gate, Potters Bar",82157750,5,3 bedroom semi-detached house for sale
1332,"Broomleys, St. Albans, Hertfordshire, AL4",46644400,3,2 bedroom end of terrace house for sale
1333,"Hall Grove, Welwyn Garden City, Hertfordshire",49294650,5,3 bedroom end of terrace house for sale
1334,"The Crescent, Welwyn, AL6",66256250,1,3 bedroom terraced house for sale
1335,"Glemsford Drive, Harpenden, Hertfordshire",46644400,2,2 bedroom end of terrace house for sale
1336,"Beechwood Avenue, Potters Bar",92758750,1,3 bedroom semi-detached house for sale
1337,"Sherwood Avenue, St. Albans, Hertfordshire, AL4",55655250,4,3 bedroom semi-detached house for sale
1338,"Homestead Road, Hatfield",185517500,5,5 bedroom detached house for sale
1339,"The Ridgeway, Northaw",95409000,3,3 bedroom semi-detached house for sale
1340,"Meadow Walk, Harpenden",159015000,4,5 bedroom detached house for sale
1341,"Lemsford Road, St. Albans, Hertfordshire",18021700,2,1 bedroom flat for sale
1342,"Darkes Lane, Potters Bar EN6",66256250,4,2 bedroom terraced house for sale
1343,"Lower Dagnall Street, St. Albans, Hertfordshire, AL3 4PE",19611850,,1 bedroom apartment for sale
1344,"Runsley, Welwyn Garden City",43464100,1,4 bedroom semi-detached house for sale
1345,"Monkswood, Welwyn Garden City, Hertfordshire, AL8",278276250,3,5 bedroom detached house for sale
1346,"Townsend Drive, St. Albans, Hertfordshire, AL3",87458250,3,3 bedroom semi-detached bungalow for sale
1347,"Westland Drive, Brookmans Park, AL9",249123500,,4 bedroom detached house for sale
1348,"Great North Road, Brookmans Park, Hertfordshire, AL9",60955750,6,2 bedroom apartment for sale
1349,"Watling Street, Radlett, Hertfordshire, WD7",106010000,,4 bedroom detached house for sale
1350,"The Ryde, Hatfield",106010000,3,Land for sale
1351,"The Ryde, Hatfield",25442400,2,1 bedroom flat for sale
1352,"Thirlestane, St Albans, AL1",73676950,5,3 bedroom detached house for sale
1353,"Endymion Road, Hatfield",136752900,1,3 bedroom link detached house for sale
1354,"Old Nursery Close, Shenley",1961185,6,Garage for sale
1355,"Hughenden Road, St. Albans, Hertfordshire, AL4",148414000,3,6 bedroom detached house for sale
1356,"Tithe Barn Close, St. Albans, AL1 2QD",2120200,4,Garage for sale
1357,"Sycamore Drive, Park Street, St Albans, Hertfordshire. AL2",44524200,5,3 bedroom terraced house for sale
1358,"Ingles, Welwyn Garden City, AL8",28622700,5,2 bedroom flat for sale
1359,"Merrifield Court, Welwyn Garden City, Hertfordshire",169509990,4,5 bedroom detached house for sale
1360,"The Broadway, Wheathampstead, St. Albans, Hertfordshire",25972450,4,1 bedroom flat for sale
1361,"Chatsworth Court, close to City Station",201419000,2,6 bedroom semi-detached house for sale
1362,"Beaconsfield Road, St. Albans, Hertfordshire",52474950,2,3 bedroom semi-detached house for sale
1363,"Great North Road, Welwyn Garden City, Herts, AL8",132512500,5,4 bedroom detached bungalow for sale
1364,"Georges Wood Road, Brookmans Park, AL9",71556750,2,5 bedroom detached house for sale
1365,"The Runway, Hatfield",82157750,4,5 bedroom semi-detached house for sale
1366,"Collyer Road, London Colney AL2",74207000,3,4 bedroom detached house for sale
1367,"Shambrook Road, Cheshunt",60955750,3,4 bedroom townhouse for sale
1368,"Sparrowhawk Place, Hatfield",47704500,1,2 bedroom apartment for sale
1369,"London Road, St. Albans",41343900,2,2 bedroom end of terrace house for sale
1370,"Great Break, Welwyn Garden City, Hertfordshire",169616000,2,5 bedroom detached house for sale
1371,"Pottersheath Road, Welwyn, Hertfordshire",49294650,3,2 bedroom detached house for sale
1372,"Hollyfield Place, Hatfield, Hertfordshire",69966600,4,4 bedroom detached house for sale
1373,"Hollyfield Place, Hatfield, Hertfordshire",59365600,4,3 bedroom detached house for sale
1374,"Hollyfield Place, Hatfield, Hertfordshire",60425700,2,3 bedroom detached house for sale
1375,"Hollyfield Place, Hatfield, Hertfordshire",26714520,1,1 bedroom flat for sale
1376,"Newtown House, Town Centre, Hatfield, Hertfordshire",26449495,3,2 bedroom apartment for sale
1377,"Sir John Newsom Way, Welwyn Garden City",62015850,1,2 bedroom terraced house for sale
1378,"Oster Street, St. Albans",79507500,2,3 bedroom detached bungalow for sale
1379,"The Ryde, Hatfield, AL9",58305500,2,4 bedroom semi-detached house for sale
1380,"Sweet Briar, Welwyn Garden City, AL7",76327200,3,4 bedroom detached house for sale
1381,"Hatfield Road, Potters Bar",31272950,1,2 bedroom penthouse for sale
1382,"Praetorian Court, Vesta Avenue, St Albans, Herts, AL1",34453250,3,1 bedroom apartment for sale
